,matrix,fontname,adv,upright,x0,y0,x1,y1,width,height,size,mcid,tag,object_type,page_number,ncs,text,stroking_color,non_stroking_color,top,bottom,doctop,document_number
0,"(12.0, 0.0, 0.0, 12.0, 285.96, 744.96)",TimesNewRomanPSMT,0.5,True,285.96,742.368,291.96,754.368,6.0,12.0,12.0,,,char,1,DeviceGray,1,"(0,)","(0,)",37.63199999999995,49.63199999999995,37.63199999999995,4
1,"(12.0, 0.0, 0.0, 12.0, 291.9636, 744.96)",TimesNewRomanPSMT,0.5,True,291.9636,742.368,297.9636,754.368,6.0,12.0,12.0,,,char,1,DeviceGray,6,"(0,)","(0,)",37.63199999999995,49.63199999999995,37.63199999999995,4
2,"(12.0, 0.0, 0.0, 12.0, 297.9672, 744.96)",TimesNewRomanPSMT,0.25,True,297.9672,742.368,300.9672,754.368,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",37.63199999999995,49.63199999999995,37.63199999999995,4
3,"(12.0, 0.0, 0.0, 12.0, 300.9672, 744.96)",TimesNewRomanPSMT,0.5,True,300.9672,742.368,306.9672,754.368,6.0,12.0,12.0,,,char,1,DeviceGray,o,"(0,)","(0,)",37.63199999999995,49.63199999999995,37.63199999999995,4
4,"(12.0, 0.0, 0.0, 12.0, 306.9708, 744.96)",TimesNewRomanPSMT,0.333,True,306.9708,742.368,310.9668,754.368,3.995999999999981,12.0,12.0,,,char,1,DeviceGray,f,"(0,)","(0,)",37.63199999999995,49.63199999999995,37.63199999999995,4
5,"(12.0, 0.0, 0.0, 12.0, 310.9704, 744.96)",TimesNewRomanPSMT,0.25,True,310.9704,742.368,313.9704,754.368,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",37.63199999999995,49.63199999999995,37.63199999999995,4
6,"(12.0, 0.0, 0.0, 12.0, 313.9704, 744.96)",TimesNewRomanPSMT,0.5,True,313.9704,742.368,319.9704,754.368,6.0,12.0,12.0,,,char,1,DeviceGray,1,"(0,)","(0,)",37.63199999999995,49.63199999999995,37.63199999999995,4
7,"(12.0, 0.0, 0.0, 12.0, 319.974, 744.96)",TimesNewRomanPSMT,0.5,True,319.974,742.368,325.974,754.368,6.0,12.0,12.0,,,char,1,DeviceGray,7,"(0,)","(0,)",37.63199999999995,49.63199999999995,37.63199999999995,4
8,"(12.0, 0.0, 0.0, 12.0, 325.9776, 744.96)",TimesNewRomanPSMT,0.25,True,325.9776,742.368,328.9776,754.368,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",37.63199999999995,49.63199999999995,37.63199999999995,4
9,"(12.0, 0.0, 0.0, 12.0, 450.0, 701.46)",TimesNewRomanPSMT,0.611,True,450.0,698.868,457.332,710.868,7.331999999999994,12.0,12.0,,,char,1,DeviceGray,E,"(0,)","(0,)",81.13199999999995,93.13199999999995,81.13199999999995,4
